"mpg","cyl","disp","hp","wt","acc","yr","origin","car_type","car_name"
18,8,307,"130",3504,12,70,1,0,"chevrolet chevelle malibu"
15,8,350,"165",3693,11.5,70,1,0,"buick skylark 320"
18,8,318,"150",3436,11,70,1,0,"plymouth satellite"
16,8,304,"150",3433,12,70,1,0,"amc rebel sst"
17,8,302,"140",3449,10.5,70,1,0,"ford torino"
15,8,429,"198",4341,10,70,1,0,"ford galaxie 500"
14,8,454,"220",4354,9,70,1,0,"chevrolet impala"
14,8,440,"215",4312,8.5,70,1,0,"plymouth fury iii"
14,8,455,"225",4425,10,70,1,0,"pontiac catalina"
15,8,390,"190",3850,8.5,70,1,0,"amc ambassador dpl"
15,8,383,"170",3563,10,70,1,0,"dodge challenger se"
14,8,340,"160",3609,8,70,1,0,"plymouth 'cuda 340"
15,8,400,"150",3761,9.5,70,1,0,"chevrolet monte carlo"
14,8,455,"225",3086,10,70,1,0,"buick estate wagon (sw)"
10,8,360,"215",4615,14,70,1,0,"ford f250"
10,8,307,"200",4376,15,70,1,0,"chevy c20"
11,8,318,"210",4382,13.5,70,1,0,"dodge d200"
9,8,304,"193",4732,18.5,70,1,0,"hi 1200d"
14,8,350,"165",4209,12,71,1,0,"chevrolet impala"
14,8,400,"175",4464,11.5,71,1,0,"pontiac catalina brougham"
14,8,351,"153",4154,13.5,71,1,0,"ford galaxie 500"
14,8,318,"150",4096,13,71,1,0,"plymouth fury iii"
12,8,383,"180",4955,11.5,71,1,0,"dodge monaco (sw)"
13,8,400,"170",4746,12,71,1,0,"ford country squire (sw)"
13,8,400,"175",5140,12,71,1,0,"pontiac safari (sw)"
13,8,350,"165",4274,12,72,1,0,"chevrolet impala"
14,8,400,"175",4385,12,72,1,0,"pontiac catalina"
15,8,318,"150",4135,13.5,72,1,0,"plymouth fury iii"
14,8,351,"153",4129,13,72,1,0,"ford galaxie 500"
17,8,304,"150",3672,11.5,72,1,0,"amc ambassador sst"
11,8,429,"208",4633,11,72,1,0,"mercury marquis"
13,8,350,"155",4502,13.5,72,1,0,"buick lesabre custom"
12,8,350,"160",4456,13.5,72,1,0,"oldsmobile delta 88 royale"
13,8,400,"190",4422,12.5,72,1,0,"chrysler newport royal"
15,8,304,"150",3892,12.5,72,1,0,"amc matador (sw)"
13,8,307,"130",4098,14,72,1,0,"chevrolet chevelle concours (sw)"
13,8,302,"140",4294,16,72,1,0,"ford gran torino (sw)"
14,8,318,"150",4077,14,72,1,0,"plymouth satellite custom (sw)"
13,8,350,"175",4100,13,73,1,0,"buick century 350"
14,8,304,"150",3672,11.5,73,1,0,"amc matador"
13,8,350,"145",3988,13,73,1,0,"chevrolet malibu"
14,8,302,"137",4042,14.5,73,1,0,"ford gran torino"
15,8,318,"150",3777,12.5,73,1,0,"dodge coronet custom"
12,8,429,"198",4952,11.5,73,1,0,"mercury marquis brougham"
13,8,400,"150",4464,12,73,1,0,"chevrolet caprice classic"
13,8,351,"158",4363,13,73,1,0,"ford ltd"
14,8,318,"150",4237,14.5,73,1,0,"plymouth fury gran sedan"
13,8,440,"215",4735,11,73,1,0,"chrysler new yorker brougham"
12,8,455,"225",4951,11,73,1,0,"buick electra 225 custom"
13,8,360,"175",3821,11,73,1,0,"amc ambassador brougham"
11,8,400,"150",4997,14,73,1,0,"chevrolet impala"
12,8,400,"167",4906,12.5,73,1,0,"ford country"
13,8,360,"170",4654,13,73,1,0,"plymouth custom suburb"
12,8,350,"180",4499,12.5,73,1,0,"oldsmobile vista cruiser"
15,8,350,"145",4082,13,73,1,0,"chevrolet monte carlo s"
16,8,400,"230",4278,9.5,73,1,0,"pontiac grand prix"
15,8,318,"150",3399,11,73,1,0,"dodge dart custom"
11,8,350,"180",3664,11,73,1,0,"oldsmobile omega"
16,8,302,"140",4141,14,74,1,0,"ford gran torino"
13,8,350,"150",4699,14.5,74,1,0,"buick century luxus (sw)"
14,8,318,"150",4457,13.5,74,1,0,"dodge coronet custom (sw)"
14,8,302,"140",4638,16,74,1,0,"ford gran torino (sw)"
14,8,304,"150",4257,15.5,74,1,0,"amc matador (sw)"
16,8,400,"170",4668,11.5,75,1,0,"pontiac catalina"
15,8,350,"145",4440,14,75,1,0,"chevrolet bel air"
16,8,318,"150",4498,14.5,75,1,0,"plymouth grand fury"
14,8,351,"148",4657,13.5,75,1,0,"ford ltd"
13,8,302,"129",3169,12,75,1,0,"ford mustang ii"
17.5,8,305,"140",4215,13,76,1,0,"chevrolet chevelle malibu classic"
16,8,318,"150",4190,13,76,1,0,"dodge coronet brougham"
15.5,8,304,"120",3962,13.9,76,1,0,"amc matador"
14.5,8,351,"152",4215,12.8,76,1,0,"ford gran torino"
13,8,318,"150",3940,13.2,76,1,0,"plymouth volare premier v8"
16.5,8,350,"180",4380,12.1,76,1,0,"cadillac seville"
13,8,350,"145",4055,12,76,1,0,"chevy c10"
13,8,302,"130",3870,15,76,1,0,"ford f108"
13,8,318,"150",3755,14,76,1,0,"dodge d100"
17.5,8,305,"145",3880,12.5,77,1,0,"chevrolet caprice classic"
15.5,8,318,"145",4140,13.7,77,1,0,"dodge monaco brougham"
15,8,302,"130",4295,14.9,77,1,0,"mercury cougar brougham"
