"mpg","cyl","disp","hp","wt","acc","yr","origin","car_type","car_name"
26,4,97,"46",1835,20.5,70,2,1,"volkswagen 1131 deluxe sedan"
26,4,121,"113",2234,12.5,70,2,1,"bmw 2002"
28,4,116,"90",2123,14,71,2,1,"opel 1900"
30,4,79,"70",2074,19.5,71,2,1,"peugeot 304"
30,4,88,"76",2065,14.5,71,2,1,"fiat 124b"
27,4,97,"60",1834,19,71,2,1,"volkswagen model 111"
26,4,96,"69",2189,18,72,2,1,"renault 12 (sw)"
26,4,97,"46",1950,21,73,2,1,"volkswagen super beetle"
26,4,98,"90",2265,15.5,73,2,1,"fiat 124 sport coupe"
29,4,68,"49",1867,19.5,73,2,1,"fiat 128"
29,4,98,"83",2219,16.5,74,2,1,"audi fox"
26,4,79,"67",1963,15.5,74,2,1,"volkswagen dasher"
26,4,97,"78",2300,14.5,74,2,1,"opel manta"
26,4,116,"75",2246,14,74,2,1,"fiat 124 tc"
31,4,79,"67",2000,16,74,2,1,"fiat x1.9"
29,4,90,"70",1937,14,75,2,1,"volkswagen rabbit"
28,4,107,"86",2464,15.5,76,2,1,"fiat 131"
27,4,101,"83",2202,15.3,76,2,1,"renault 12tl"
29,4,90,"70",1937,14.2,76,2,1,"vw rabbit"
29.5,4,97,"71",1825,12.2,76,2,1,"volkswagen rabbit"
36,4,79,"58",1825,18.6,77,2,1,"renault 5 gtl"
29,4,97,"78",1940,14.5,77,2,1,"volkswagen rabbit custom"
30.5,4,97,"78",2190,14.1,77,2,1,"volkswagen dasher"
43.1,4,90,"48",1985,21.5,78,2,1,"volkswagen rabbit custom diesel"
31.5,4,89,"71",1990,14.9,78,2,1,"volkswagen scirocco"
31.9,4,89,"71",1925,14,79,2,1,"vw rabbit custom"
25.4,5,183,"77",3530,20.1,79,2,1,"mercedes benz 300d"
27.2,4,141,"71",3190,24.8,79,2,1,"peugeot 504"
37.3,4,91,"69",2130,14.7,79,2,1,"fiat strada custom"
41.5,4,98,"76",2144,14.7,80,2,1,"vw rabbit"
34.3,4,97,"78",2188,15.8,80,2,1,"audi 4000"
44.3,4,90,"48",2085,21.7,80,2,1,"vw rabbit c (diesel)"
43.4,4,90,"48",2335,23.7,80,2,1,"vw dasher (diesel)"
36.4,5,121,"67",2950,19.9,80,2,1,"audi 5000s (diesel)"
30,4,146,"67",3250,21.8,80,2,1,"mercedes-benz 240d"
40.9,4,85,"?",1835,17.3,80,2,1,"renault lecar deluxe"
29.8,4,89,"62",1845,15.3,80,2,1,"vokswagen rabbit"
35,4,122,"88",2500,15.1,80,2,1,"triumph tr7 coupe"
33,4,105,"74",2190,14.2,81,2,1,"volkswagen jetta"
34.5,4,100,"?",2320,15.8,81,2,1,"renault 18i"
28.1,4,141,"80",3230,20.4,81,2,1,"peugeot 505s turbo diesel"
30.7,6,145,"76",3160,19.6,81,2,0,"volvo diesel"
36,4,105,"74",1980,15.3,82,2,1,"volkswagen rabbit l"
44,4,97,"52",2130,24.6,82,2,1,"vw pickup"
